year,Drawdowns (Bn EUR),Repayments (Bn EUR),Cumulative Drawdowns (Bn EUR),Cumulative Repayments (Bn EUR)
2025,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0
2027,0.38,0.0,0.38,0.0
2028,0.86,0.04,1.24,0.04
2029,1.32,0.13,2.56,0.17
2030,1.26,0.22,3.81,0.39
2031,0.86,0.3,4.68,0.69
2032,0.48,0.54,5.16,1.24
2033,0.24,0.77,5.4,2.0
2034,0.12,0.87,5.52,2.87
2035,0.04,0.87,5.56,3.74
2036,0.02,0.88,5.57,4.62
2037,0.01,0.82,5.58,5.44
2038,0.01,0.82,5.59,6.26
2039,0.0,0.7,5.59,6.97
2040,0.0,0.36,5.59,7.33
2041,0.0,0.11,5.6,7.44
