quarter_end,tvpi,series
2023-12-31,1.5309645499044853,historical
2024-03-31,1.532888490738923,historical
2024-06-30,1.5297130602708453,historical
2024-09-30,1.518470022121685,historical
2024-12-31,1.532629765507063,historical
2025-03-31,1.5088528670318186,historical
2025-06-30,1.494269427944336,historical
2025-09-30,1.4662866114573903,historical
2025-12-31,,projected
2026-03-31,,projected
2026-06-30,,projected
2026-09-30,,projected
2026-12-31,,projected
2027-03-31,,projected
2027-06-30,0.8669356413038205,projected
2027-09-30,0.7703071631519278,projected
